Growth..1991...2001.,Number.of.households,Sex.ratio..females.per.1000.males.,Sex.ratio..0.6.years.,Data.without.level,Below.Primary,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Main.workers,Marginal.workers,Drinking.water.facilities,Safe.Drinking.water,Electricity..Power.Supply.,Electricity..domestic.,Electricity..Agriculture.,Medical.facility,Primary.Health.Centre,Primary.Health.Sub.Centre,Post..telegraph.and.telephone.facility,Bus.services,Paved.approach.road,Persons,Primary.school,Middle.schools,Secondary.Sr.Secondary.schools,College,Persons..literate,Literacy Rate,Institutions,Persons Per EduInst,Medical Institutions,Persons Per MedInst
13.71,109483,997,981,5681,44192,38736,18120,15959,3806,154179,93445,933,886,100,85,5,119,26,112,102,85,197,504198,543,109,46,2,126498,0.250889531,698,722.3467049,257,1961.859922
54.52,7226,975,963,221,4162,5933,3000,4809,1773,9298,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31394,NA,NA,NA,NA,19898,0.633815379,NA,NA,NA,NA
20.82,163864,990,966,8846,69029,133263,106616,149493,55530,247949,17927,63,63,63,0,0,48,16,30,63,59,63,735332,62,38,37,4,522782,0.710946892,137,5367.386861,94,7822.680851
10.09,6054,1147,910,273,4629,8270,6924,9215,1923,8420,888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36828,NA,NA,NA,NA,31234,0.848104703,NA,NA,NA,NA
17.11,38394,1022,979,1328,18811,35218,25426,32531,9138,51700,5862,29,29,29,0,0,29,10,14,29,28,29,170791,28,18,18,2,122453,0.716975719,64,2668.609375,53,3222.471698
19.33,366025,890,788,21230,223419,333312,236226,461359,69513,568322,132235,1531,1531,1532,0,0,517,82,7,1111,1153,1474,2104011,1375,443,269,7,1345447,0.639467664,2087,1008.150934,606,3471.965347
22.72,541339,876,789,36625,330327,440311,281407,588144,116805,938100,174100,1151,1151,1185,0,0,696,154,26,1123,992,1102,3096077,1114,611,307,9,1793999,0.57944263,2032,1523.659941,876,3534.334475
16.34,136664,888,784,7382,81344,120637,86011,160506,31470,231222,31519,618,618,618,0,0,359,11,47,604,298,525,754521,478,194,123,1,487554,0.646176846,795,949.0830189,417,1809.402878
18.4,364030,887,805,17704,209338,321830,229657,449212,123954,599324,77511,934,934,934,0,0,598,29,42,903,703,934,1962700,832,361,230,7,1352044,0.688869415,1423,1379.26915,669,2933.781764
13.81,279904,935,812,9400,175253,267773,196060,347343,54347,415123,98228,1386,1361,1386,0,0,382,38,176,1092,827,1292,1480736,1232,332,235,5,1050378,0.709362101,1799,823.0883824,596,2484.456376
10.43,107763,914,808,5273,72248,113131,71063,117099,15552,238405,25293,465,465,465,0,0,210,23,21,416,399,325,587468,414,200,154,9,394429,0.671405081,768,764.9322917,254,2312.866142
23.39,205954,871,794,7652,127017,188319,127864,241745,67260,397119,40224,864,864,864,0,0,496,18,67,773,652,772,1116108,785,278,212,5,760067,0.680997717,1275,875.3788235,581,1921.012048
18.65,93414,854,766,4502,61585,98165,63487,102297,17270,182020,24119,442,442,442,0,0,171,11,24,244,356,442,538041,419,129,103,0,347364,0.645608792,651,826.483871,206,2611.849515
24.79,558650,824,816,35142,322639,490418,345583,664797,177203,1041517,108121,897,897,897,0,0,550,72,25,772,824,896,3032831,842,450,291,15,2036278,0.671411628,1583,1915.875553,647,4687.528594
13.93,153744,887,818,9172,103696,141484,82548,137872,19640,302602,56161,321,321,321,0,0,225,32,74,284,230,321,894854,297,205,187,12,494525,0.552632049,689,1298.772134,331,2703.486405
20.42,301112,885,822,17967,202779,249084,153723,237261,42295,535889,112787,954,953,968,0,0,756,36,60,855,836,968,1746107,866,406,166,2,903273,0.517306786,1438,1214.260779,852,2049.421362
18.68,135442,891,811,8560,86921,106371,68229,103194,18336,264579,44993,234,234,234,0,0,127,17,94,226,234,234,777493,230,172,124,0,391658,0.503744728,526,1478.123574,238,3266.777311
21.42,97690,883,812,4653,62735,78777,47844,83477,18108,181873,27881,163,163,163,0,0,107,11,61,153,161,163,550892,160,139,63,0,295618,0.536616978,362,1521.801105,179,3077.608939
19.89,208993,870,785,15504,129527,167149,101163,178842,40236,408924,91743,280,280,280,0,0,181,21,92,278,280,279,1183295,280,185,150,1,632570,0.534583515,615,1924.056911,294,4024.812925
19.83,121075,880,781,7927,78444,87634,49923,74797,11881,227622,53869,237,237,238,25,25,123,15,100,234,235,237,688758,237,135,67,1,310632,0.45100311,439,1568.924829,238,2893.941176
18.57,348922,871,785,19550,229215,289589,167272,284127,51416,714076,100022,697,697,697,22,22,291,35,214,660,672,674,2000173,684,417,244,2,1041310,0.520609967,1345,1487.117472,540,3704.024074
20.31,327859,868,776,17201,209048,291071,190361,320437,91461,589015,92936,1053,1053,1054,0,0,172,26,20,859,685,1053,1844934,986,333,161,0,1119824,0.60697239,1480,1246.577027,218,8463
27.53,303107,873,849,37594,282038,272986,159919,166798,46110,552559,167233,2820,2221,1817,880,NA,654,47,203,1330,1500,1812,1789423,1653,536,129,0,965445,0.539528664,2318,771.9685073,904,1979.450221
24.34,247838,894,871,44666,275091,218570,120271,113206,23856,491225,137086,1773,1481,1221,689,NA,355,32,114,681,765,1070,1518005,759,376,161,2,795660,0.524148471,1296,1171.300154,501,3029.9501
38.18,248960,890,916,33572,231180,197222,125597,131025,48265,522482,138975,686,552,485,209,NA,173,31,94,289,427,446,1674271,611,277,66,0,766862,0.458027404,954,1755.001048,298,5618.35906
24.6,290619,948,911,155538,394344,233275,125205,98989,21529,587431,266468,925,897,877,401,NA,423,60,265,628,591,573,1923878,909,488,181,0,1028880,0.534794826,1578,1219.187579,748,2572.029412
20.9,299391,946,862,108783,383211,285006,182336,158524,35009,495148,265762,855,855,848,170,160,378,63,241,672,563,579,1913689,843,485,257,3,1152872,0.602434356,1585,1207.374763,682,2805.995601
30.23,461973,886,887,61865,416188,397269,279773,258478,74707,947587,511099,1954,1950,1843,678,NA,553,55,196,1019,589,1244,2992592,1811,736,269,0,1488281,0.49732172,2816,1062.710227,804,3722.129353
27.05,313897,854,878,78057,370558,259166,181635,136521,37645,573547,279366,1365,1364,1238,582,213,481,49,130,730,296,824,2101142,1298,511,174,0,1063582,0.506192347,1983,1059.577408,660,3183.548485
31.13,142256,827,859,25731,186508,119366,67696,46894,12585,273184,156130,786,785,521,272,NA,207,21,62,289,154,443,983258,723,229,63,0,458782,0.466593712,1015,968.7270936,290,3390.544828
29.96,180512,855,873,62398,230601,149450,84870,65042,16311,355450,127660,754,753,555,160,NA,285,19,109,348,260,449,1209665,695,317,120,0,608672,0.503174019,1132,1068.608657,413,2928.970944
27.44,176738,889,901,28834,153627,131165,94399,79537,28351,366794,102370,718,717,563,221,NA,238,26,107,383,215,311,1117057,652,259,85,2,515913,0.461850201,996,1121.543173,371,3010.93531
32.42,193498,899,905,38651,211200,157487,113274,101117,28847,417275,125259,1025,1025,919,357,NA,217,35,90,372,205,517,1317063,875,334,103,4,650576,0.493959666,1312,1003.858994,342,3851.061404
35.1,815766,897,898,129553,755975,691865,516810,606755,326964,1584361,279694,2077,2076,1962,579,NA,622,65,260,940,845,1172,5251071,1863,735,283,4,3027923,0.576629606,2881,1822.655675,947,5544.953537
24.11,333300,951,885,86773,414024,355110,217442,192894,50901,633421,254494,985,985,965,118,NA,470,70,311,776,630,581,2287788,945,522,239,0,1317144,0.575728171,1706,1341.024619,851,2688.352526
29.33,421118,947,915,99949,449191,340224,195832,161518,41207,844039,285475,1466,1461,1417,424,NA,580,82,396,907,995,827,2775058,1417,630,233,1,1287921,0.464105975,2280,1217.130702,1058,2622.928166
