Growth..1991...2001.,Number.of.households,Sex.ratio..females.per.1000.males.,Sex.ratio..0.6.years.,Data.without.level,Below.Primary,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Main.workers,Marginal.workers,Drinking.water.facilities,Safe.Drinking.water,Electricity..Power.Supply.,Electricity..domestic.,Electricity..Agriculture.,Medical.facility,Primary.Health.Centre,Primary.Health.Sub.Centre,Post..telegraph.and.telephone.facility,Bus.services,Paved.approach.road,Persons,Primary.school,Middle.schools,Secondary.Sr.Secondary.schools,College,Persons..literate
15.95,207185,928,967,10554,153864,131634,145992,198390,31707,287319,143204,866,861,772,766,15,317,33,76,303,429,441,1051736,825,464,243,7,672158
15.84,195691,933,967,17323,150497,126171,123591,201640,41283,285092,129256,787,785,650,635,23,215,30,67,294,382,443,999221,717,421,268,31,660591
14.21,181692,930,963,10935,160261,124707,116314,123363,21774,269896,118744,1066,1064,595,575,14,87,40,14,292,528,501,946279,769,305,139,23,557360
22.57,144334,926,973,10917,129961,97842,71385,63345,9112,231638,98842,2633,1943,780,733,50,72,36,6,184,510,899,813311,1209,392,79,4,382574
23.47,37294,884,955,2577,27696,26167,20031,25701,4126,55031,15168,605,473,197,190,1,67,15,0,78,146,160,188079,565,164,39,2,106354
18.66,273694,945,960,12737,264692,210291,152273,149889,34464,364814,100920,1020,945,741,715,52,134,26,11,310,381,396,1444921,902,381,155,17,824437
21.35,179141,947,965,8988,206569,145859,89941,81460,17096,235016,68278,915,908,639,622,4,224,20,52,408,614,409,1007976,865,347,99,9,550119
20.92,97856,935,926,5089,88603,70326,54660,36681,8151,138216,41665,327,308,268,263,14,110,8,7,135,141,115,542872,308,206,60,0,263547
30.4,522728,901,953,39777,303277,276791,120739,151304,39728,840563,313475,1355,1355,344,290,14,266,54,144,314,116,454,3043466,1040,261,58,5,932347
29.27,645949,897,936,58363,334285,335027,160904,220305,55742,1025654,261189,1279,1279,529,396,67,316,35,130,498,119,494,3939773,1081,348,90,5,1164670
36.16,106808,885,916,13313,38706,41449,18325,26264,6366,133348,27870,189,189,43,39,2,57,9,25,61,15,68,515961,161,56,14,0,144444
32.58,548321,892,924,45072,232998,241271,106199,149796,42252,714136,141020,802,801,302,285,15,216,26,118,277,146,345,2682720,709,264,28,6,817711
26.08,656858,942,939,59231,311450,337265,166293,241046,80377,877412,350311,1034,1033,437,323,30,232,48,157,432,164,547,3575281,901,382,119,27,1195776
29.95,308453,920,925,36513,141754,142665,68442,90900,28675,526267,201955,526,525,151,120,2,104,14,54,194,53,242,1732578,440,187,52,9,509025
31.84,415563,913,962,56822,170917,169716,72976,90784,26900,657446,195999,713,711,129,121,0,60,16,21,211,108,252,2158608,552,162,4,4,589679
31.5,257252,936,946,30065,104143,89804,35723,38799,13632,359819,57332,730,730,116,97,24,120,16,39,123,39,181,1296348,442,91,23,3,313488
35.23,492491,915,967,45607,192055,188455,89717,121468,60584,782364,178336,1103,1095,313,298,10,178,27,74,250,124,284,2543942,676,197,32,8,700070
30.91,455376,919,966,27714,190559,184659,98997,112380,39452,664259,234067,1290,1231,277,224,47,248,30,93,239,83,316,2392638,785,183,56,10,655119
29.45,267179,915,926,24076,110975,116785,56748,91201,31536,498367,185609,384,383,168,138,11,141,24,60,183,65,163,1526646,311,195,42,14,431480
33.03,268453,910,911,22822,117503,121342,63340,103110,37268,411566,177901,441,441,127,109,5,63,14,44,211,60,188,1508182,374,178,29,5,465577
30.85,616636,914,914,82032,293372,325340,150907,232248,82655,761464,267094,1083,1083,490,409,84,271,29,100,404,138,494,3295789,850,267,81,14,1167572
26.74,650882,920,927,89865,377697,375833,184370,271130,138923,895830,244000,1725,1725,1021,790,127,526,50,279,473,216,763,3746714,1423,412,104,26,1440954
26.11,320452,1001,963,23055,251520,226128,128485,158427,28515,466811,174861,1383,1383,439,408,38,261,74,92,231,155,549,2152638,866,189,69,12,816173
24.78,383575,1031,933,45266,306968,306275,180106,209847,67645,511578,218859,1438,1437,441,330,10,254,37,128,361,151,560,2714349,1119,287,68,11,1118027
26.37,471446,966,949,44856,342494,360628,220404,317047,62137,644618,216322,1566,1566,544,438,97,342,46,115,462,170,611,3248701,1213,358,49,19,1347610
26.39,412669,920,937,42767,289620,290962,160999,260462,53254,624452,158265,1414,1414,970,892,55,154,29,97,408,141,627,2718421,929,294,37,14,1098151
